component,rows,suggested_category,rule_level,reason,approved_category,enabled,notes
Fw –> Top,3,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
FW- Audio -> A2DP Offload Datapath,3,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
FW- IML,3,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
FW->Sensing,3,Sensing,hard,component contains sensing cue,,,
Installation->CustomizeInstallFirstRun,3,OEM Tools,soft,tools/install components tend to map to OEM Tools,,,
Other,3,,review,no reliable keyword rule,,,
Services,3,,review,no reliable keyword rule,,,
WiAMTDriver,3,Connectivity,soft,driver stack components often map to connectivity in current data,,,
WiAMTDriver->WiMaD,3,Connectivity,soft,driver stack components often map to connectivity in current data,,,
3rd Party->Bridge Incoming->MSFT,2,Connectivity,soft,3rd-party component often maps to connectivity-like issues,,,
3rd Party->Bridge Incoming->Platform,2,Connectivity,soft,3rd-party component often maps to connectivity-like issues,,,
3rd Party-BIOS Wireless feature,2,BIOS,hard,component contains bios cue,,,
Build System,2,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
FW- Build,2,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
FW- Datapath,2,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
FW- Protocol -> AFH,2,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
FW- Protocol -> TPC & LE TPC,2,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
FW- ROM,2,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
FW->The Platform,2,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
FW_Audio->LE_Audio,2,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
GNNR,2,,review,no reliable keyword rule,,,
Host Windows- Tools,2,Connectivity,soft,driver stack components often map to connectivity in current data,,,
ICM->UI,2,,review,no reliable keyword rule,,,
LinuxDriver,2,Connectivity,soft,driver stack components often map to connectivity in current data,,,
LNL_A0_HW_Limitation,2,,review,no reliable keyword rule,,,
Product->RF,2,RF,hard,component contains rf/phy cues,,,
Services->Analytics Service,2,,review,no reliable keyword rule,,,
Services->Data Provider Helper Service,2,,review,no reliable keyword rule,,,
Tools,2,OEM Tools,soft,tools/install components tend to map to OEM Tools,,,
WinDriver->DDD,2,Connectivity,soft,driver stack components often map to connectivity in current data,,,
WinDriver->WiFi Extensions->P2PClient,2,P2P,hard,component contains p2p cue,,,
WRT2G,2,,review,no reliable keyword rule,,,
3rd Party- UEFI,1,UEFI,hard,component contains uefi cue,,,
3rd Party->Bridge Incoming,1,Connectivity,soft,3rd-party component often maps to connectivity-like issues,,,
All Relevant,1,,review,no reliable keyword rule,,,
Configuration Files,1,,review,no reliable keyword rule,,,
DevOps->Jenkins,1,,review,no reliable keyword rule,,,
DevOps->Release,1,,review,no reliable keyword rule,,,
FW- FSEQ,1,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
FW- Misc,1,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
FW- Protocol -> eSCO,1,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
FW- Protocol -> Scheduler,1,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
FW->DP,1,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
FW->Location,1,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
FW->RFI,1,RF,hard,component contains rf/phy cues,,,
FW->Statistics,1,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
FW_Audio->LE_Audio_BIS,1,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
Host Windows- Driver->ibtuart,1,Connectivity,soft,driver stack components often map to connectivity in current data,,,
Host Windows- Installer,1,Connectivity,soft,driver stack components often map to connectivity in current data,,,
HW,1,,review,no reliable keyword rule,,,
ICPS->Bluetooth,1,ICPS,hard,component contains 'icps',,,
ICPS->Installation,1,ICPS,hard,component contains 'icps',,,
Installation->CustomizeUninstallFirstRun,1,OEM Tools,soft,tools/install components tend to map to OEM Tools,,,
Installer->WiFi,1,OEM Tools,soft,tools/install components tend to map to OEM Tools,,,
Killer->UI,1,Killer,hard,component contains 'killer',,,
System->PHY->Sensing,1,RF,hard,component contains rf/phy cues,,,
System->Power,1,Power Consumption,hard,component contains power cues,,,
System->Thermal,1,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
WiFi BT coex,1,,review,no reliable keyword rule,,,
WinDriver->USC,1,Connectivity,soft,driver stack components often map to connectivity in current data,,,
