ips_case_number,customer,ips_customer_name,ips_oem,ips_owner_name,ips_title,ips_created_date,jira_id
661641,"HUAQIN TECHNOLOGY CO., LTD",NA,"Huaqin Technology Co., Ltd",Zhiwei He,[HUAWEI][HUAQIN][Morgan-F][ADL-P][AX211][WIN11][WIFI] Auto connect it again and wait for above 15s test wifi6e when turn off and then turn on WIFI switch.,2021-11-17 07:07:00,NA
661641,"HUAQIN TECHNOLOGY CO., LTD",NA,"Huaqin Technology Co., Ltd",Zhiwei He,[HUAWEI][HUAQIN][Morgan-F][ADL-P][AX211][WIN11][WIFI] Auto connect it again and wait for above 15s test wifi6e when turn off and then turn on WIFI switch.,2021-11-17 07:07:00,NA
661641,"HUAQIN TECHNOLOGY CO., LTD",NA,"Huaqin Technology Co., Ltd",Zhiwei He,[HUAWEI][HUAQIN][Morgan-F][ADL-P][AX211][WIN11][WIFI] Auto connect it again and wait for above 15s test wifi6e when turn off and then turn on WIFI switch.,2021-11-17 07:07:00,NA
661379,"COMPAL ELECTRONICS, INC.",NA,"COMPAL ELECTRONICS, INC.",Timdaway Lai,[Dell][Compal][Horizon_MLK][ADL-P][Performance] ?WebXPRT2015_benchmark?_is_low_than_previous_generation_project.,2021-11-16 18:15:00,NA
661379,"COMPAL ELECTRONICS, INC.",NA,"COMPAL ELECTRONICS, INC.",Timdaway Lai,[Dell][Compal][Horizon_MLK][ADL-P][Performance] ?WebXPRT2015_benchmark?_is_low_than_previous_generation_project.,2021-11-16 18:15:00,NA
661379,"COMPAL ELECTRONICS, INC.",NA,"COMPAL ELECTRONICS, INC.",Timdaway Lai,[Dell][Compal][Horizon_MLK][ADL-P][Performance] ?WebXPRT2015_benchmark?_is_low_than_previous_generation_project.,2021-11-16 18:15:00,NA
661282,"HUAQIN TECHNOLOGY CO., LTD",NA,"Huaqin Technology Co., Ltd",Wesley Kuo,[HUAWEI][HUAQIN][EmmyD][Intel TGL][Intel AX201][BT][Win10]BT mouse occur no response  status a few times,2021-11-16 06:05:00,NA
661282,"HUAQIN TECHNOLOGY CO., LTD",NA,"Huaqin Technology Co., Ltd",Wesley Kuo,[HUAWEI][HUAQIN][EmmyD][Intel TGL][Intel AX201][BT][Win10]BT mouse occur no response  status a few times,2021-11-16 06:05:00,NA
661282,"HUAQIN TECHNOLOGY CO., LTD",NA,"Huaqin Technology Co., Ltd",Wesley Kuo,[HUAWEI][HUAQIN][EmmyD][Intel TGL][Intel AX201][BT][Win10]BT mouse occur no response  status a few times,2021-11-16 06:05:00,NA
661279,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",NA,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",Leo Chiang,[Huawei/Bitland][CML-S][Pangu] No Voice from Movie&TV after system resume from S3 with Bluetooth headphone. Failure rate: 1/10 cycles.,2021-11-16 05:28:00,NA
661279,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",NA,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",Leo Chiang,[Huawei/Bitland][CML-S][Pangu] No Voice from Movie&TV after system resume from S3 with Bluetooth headphone. Failure rate: 1/10 cycles.,2021-11-16 05:28:00,NA
661279,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",NA,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",Leo Chiang,[Huawei/Bitland][CML-S][Pangu] No Voice from Movie&TV after system resume from S3 with Bluetooth headphone. Failure rate: 1/10 cycles.,2021-11-16 05:28:00,NA
661233,"HUAQIN TECHNOLOGY CO., LTD",NA,"Huaqin Technology Co., Ltd",Wesley Kuo,"[Samsung][Intel-ADL-P][Titan2-M][Win11 R]The units show ""Bluetooth-??(R) ?? Bluetooth(R)"", HWID : USB\VID_8087&PID_0026&REV_0002, Problem during running S4&MS Mix.(FR:3 out of 15 units,3 out of 10693 times)",2021-11-16 02:37:00,NA
661233,"HUAQIN TECHNOLOGY CO., LTD",NA,"Huaqin Technology Co., Ltd",Wesley Kuo,"[Samsung][Intel-ADL-P][Titan2-M][Win11 R]The units show ""Bluetooth-??(R) ?? Bluetooth(R)"", HWID : USB\VID_8087&PID_0026&REV_0002, Problem during running S4&MS Mix.(FR:3 out of 15 units,3 out of 10693 times)",2021-11-16 02:37:00,NA
661233,"HUAQIN TECHNOLOGY CO., LTD",NA,"Huaqin Technology Co., Ltd",Wesley Kuo,"[Samsung][Intel-ADL-P][Titan2-M][Win11 R]The units show ""Bluetooth-??(R) ?? Bluetooth(R)"", HWID : USB\VID_8087&PID_0026&REV_0002, Problem during running S4&MS Mix.(FR:3 out of 15 units,3 out of 10693 times)",2021-11-16 02:37:00,NA
661225,"HUAQIN TECHNOLOGY CO., LTD",NA,"Huaqin Technology Co., Ltd",Wesley Kuo,"[Samsung][Intel-ADL][Titan2-M][Win11 R]The units show ""Bluetooth-??(R) ?? Bluetooth(R)"", HWID : USB\VID_8087&PID_0026&REV_0002, Not found during running WR&HS Mix.",2021-11-16 02:08:00,NA
661225,"HUAQIN TECHNOLOGY CO., LTD",NA,"Huaqin Technology Co., Ltd",Wesley Kuo,"[Samsung][Intel-ADL][Titan2-M][Win11 R]The units show ""Bluetooth-??(R) ?? Bluetooth(R)"", HWID : USB\VID_8087&PID_0026&REV_0002, Not found during running WR&HS Mix.",2021-11-16 02:08:00,NA
