ips_case_number,ips_owner_name,reporter,ips_created_date,ips_oem,jira_id,ips_jira_id,ips_title
635334,Zhiwei He,NA,2021-08-04 20:16:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Morgan][Intel TGL][Intel AX201][21H1] System cannot auto connect to AP wait for more than 20s.
635334,Zhiwei He,NA,2021-08-04 20:16:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Morgan][Intel TGL][Intel AX201][21H1] System cannot auto connect to AP wait for more than 20s.
635334,Zhiwei He,NA,2021-08-04 20:16:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Morgan][Intel TGL][Intel AX201][21H1] System cannot auto connect to AP wait for more than 20s.
640781,Zhiwei He,NA,2021-08-25 22:38:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,[Huawei][Wingtech][Dirac][Intel Tiger Lake UP4][AX201][21H2] [WIFI]Cannot switch to 5 G after the roaming switches to 2.4G
640781,Zhiwei He,NA,2021-08-25 22:38:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,[Huawei][Wingtech][Dirac][Intel Tiger Lake UP4][AX201][21H2] [WIFI]Cannot switch to 5 G after the roaming switches to 2.4G
640781,Zhiwei He,NA,2021-08-25 22:38:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,[Huawei][Wingtech][Dirac][Intel Tiger Lake UP4][AX201][21H2] [WIFI]Cannot switch to 5 G after the roaming switches to 2.4G
642095,Zhiwei He,NA,2021-08-31 19:28:00,"Huaqin Technology Co., Ltd",,NA,?HUAWEI??Huaqin??Morgan??TGL-R??AX201??21H1?Power control fails to reach the desired power when using DRTU
642095,Zhiwei He,NA,2021-08-31 19:28:00,"Huaqin Technology Co., Ltd",,NA,?HUAWEI??Huaqin??Morgan??TGL-R??AX201??21H1?Power control fails to reach the desired power when using DRTU
642095,Zhiwei He,NA,2021-08-31 19:28:00,"Huaqin Technology Co., Ltd",,NA,?HUAWEI??Huaqin??Morgan??TGL-R??AX201??21H1?Power control fails to reach the desired power when using DRTU
650938,Zhiwei He,NA,2021-10-10 07:34:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][EmmyD][Intel TGL][WIN10][WIFI] System cannot auto connect to AP with stronger signal.
650938,Zhiwei He,NA,2021-10-10 07:34:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][EmmyD][Intel TGL][WIN10][WIFI] System cannot auto connect to AP with stronger signal.
650938,Zhiwei He,NA,2021-10-10 07:34:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][EmmyD][Intel TGL][WIN10][WIFI] System cannot auto connect to AP with stronger signal.
651731,Zhiwei He,NA,2021-10-13 03:10:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][Intel TGL][Morgan][Intel AX201][Win11]WIFI abnormal when Let SUT enter Modern standby via close the lid and then let system resume from Modern standby via open the lid during connect internet
651731,Zhiwei He,NA,2021-10-13 03:10:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][Intel TGL][Morgan][Intel AX201][Win11]WIFI abnormal when Let SUT enter Modern standby via close the lid and then let system resume from Modern standby via open the lid during connect internet
651731,Zhiwei He,NA,2021-10-13 03:10:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][Intel TGL][Morgan][Intel AX201][Win11]WIFI abnormal when Let SUT enter Modern standby via close the lid and then let system resume from Modern standby via open the lid during connect internet
652040,Zhiwei He,NA,2021-10-14 00:48:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Intel TGL][Intel AX201][Win11]WIFI cannot connect to hotspot
652040,Zhiwei He,NA,2021-10-14 00:48:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Intel TGL][Intel AX201][Win11]WIFI cannot connect to hotspot
652040,Zhiwei He,NA,2021-10-14 00:48:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Intel TGL][Intel AX201][Win11]WIFI cannot connect to hotspot
652615,Zhiwei He,NA,2021-10-16 00:25:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Intel TGL][Intel AX201][Win11][WIFI] Cannot found the WIFI icon on the tray and have no access to the internet.
652615,Zhiwei He,NA,2021-10-16 00:25:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Intel TGL][Intel AX201][Win11][WIFI] Cannot found the WIFI icon on the tray and have no access to the internet.
652615,Zhiwei He,NA,2021-10-16 00:25:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Intel TGL][Intel AX201][Win11][WIFI] Cannot found the WIFI icon on the tray and have no access to the internet.
