ips_case_number,customer,suggested_customer,reason,ips_customer_name,ips_oem,ips_created_date,ips_title
622131,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",XIAOMI,title_brand_mismatch,NA,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",2021-06-11 21:25:00,"[XIAOMI][Bitland][A7R][Tiger Lake-H][AX200&AX201][19043.928][2/2units,2/2cycle]The Machine can't project to XIAOMI TV directly or other monitors by wireless display box  when set to 802.11a/b/g wireless mode->5GHz 802.11a"
622131,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",XIAOMI,title_brand_mismatch,NA,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",2021-06-11 21:25:00,"[XIAOMI][Bitland][A7R][Tiger Lake-H][AX200&AX201][19043.928][2/2units,2/2cycle]The Machine can't project to XIAOMI TV directly or other monitors by wireless display box  when set to 802.11a/b/g wireless mode->5GHz 802.11a"
622131,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",XIAOMI,title_brand_mismatch,NA,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",2021-06-11 21:25:00,"[XIAOMI][Bitland][A7R][Tiger Lake-H][AX200&AX201][19043.928][2/2units,2/2cycle]The Machine can't project to XIAOMI TV directly or other monitors by wireless display box  when set to 802.11a/b/g wireless mode->5GHz 802.11a"
621543,"COMPAL ELECTRONICS, INC.",DELL,title_brand_mismatch,NA,"COMPAL ELECTRONICS, INC.",2021-06-09 19:42:00,[DELL/COMPAL][ADL-P][Odyssey][AX211-M.2 2230] NDT test tool FW ERROR
621543,"COMPAL ELECTRONICS, INC.",DELL,title_brand_mismatch,NA,"COMPAL ELECTRONICS, INC.",2021-06-09 19:42:00,[DELL/COMPAL][ADL-P][Odyssey][AX211-M.2 2230] NDT test tool FW ERROR
621543,"COMPAL ELECTRONICS, INC.",DELL,title_brand_mismatch,NA,"COMPAL ELECTRONICS, INC.",2021-06-09 19:42:00,[DELL/COMPAL][ADL-P][Odyssey][AX211-M.2 2230] NDT test tool FW ERROR
621328,"HUAQIN TECHNOLOGY CO., LTD",LENOVO|NEC,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-06-09 00:16:00,[Lenovo-IdeaPad][HUAQIN][ThinkBook Plus G2][TGL][AX201][2021 October][100%][life cycle] There isn't hands-free mode after connect BT headset. (F/R: 100%)
621328,"HUAQIN TECHNOLOGY CO., LTD",LENOVO|NEC,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-06-09 00:16:00,[Lenovo-IdeaPad][HUAQIN][ThinkBook Plus G2][TGL][AX201][2021 October][100%][life cycle] There isn't hands-free mode after connect BT headset. (F/R: 100%)
621328,"HUAQIN TECHNOLOGY CO., LTD",LENOVO|NEC,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-06-09 00:16:00,[Lenovo-IdeaPad][HUAQIN][ThinkBook Plus G2][TGL][AX201][2021 October][100%][life cycle] There isn't hands-free mode after connect BT headset. (F/R: 100%)
621117,"HUAQIN TECHNOLOGY CO., LTD",HONOR,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-06-08 05:45:00,"[HONOR][HUAQIN][HiggsE][Intel TGL][Intel AX201][21H1][BT]After adding four Bluetooth devices, the touch pad and Bluetooth mouse can be moved, and the desktop's app cannot be opened"
