Issue key,project,year,category,Summary,Custom field (Root Cause)
WIFI-843819,WIFI,2026,BSOD,"[Lenovo ThinkPad China][LCFC][WCL][AX211]EUT occur BSOD 0x7E(Netwtw16!IntelWiFiPcwCloseMacIdx0LinkQuality) during longrun AC-FB stress test(FR: 1/ 18units, 1/3497 cycles)",missing nullity check to the content of the pointer
WIFI-837812,WIFI,2026,Connectivity,[GU606A_BE211] Intermittent Tx Power Delta Limits read failure after country code switches in factory Wi-Fi test,"It is possible that between the time a channel was verified to
be valid for scanning and between the time the channel is
actually scanned, an MCC change has occurred and the channel
is no longer valid for scanning.

To handle such a race, check the regulatory DB before actually
starting to scan the channel and if the channel is no longer
valid do not scan it."
WIFI-829330,WIFI,2026,BSOD,"Wi-Fi device YB after 0x122e on resume fails to recover, error code 10, reboot restores on AX211/Win11","When encountering 0xa5a5a5af we were unable to read or write from CSR.
Before the change we would trigger PRODUCT reset only if encountered 0xFFFFFFFF.
The updated handling would trigger PRODUCT reset on inability to write to CSRs, which in also the case for 0xa5a5a5af.
This would allow us to recover the 0xa5a5a5af (unlike CORE reset) and on next enable we'd be able to operate, where as with CORE the issue didn't resolve and we would fail init being unable to detect HW properly."
WIFI-828131,WIFI,2026,Connectivity,[MSFT][UID 1252477][PTL][FmP] SoC stuck in C2 state after changing Wi-Fi SAR indexes with TAS enabled on Windows 11 25H2,"In the scenario where SAR is changing, GMPD will request paging. But when TAS is enabled, GMPD doesn't care about SAR limit since TAS can decide to ignore SAR limit, so GMPD must calibrate without SAR consideration. So when SAR has changed, GMPD requested paging. But if TAS is enabled, GMPD won't build a new plan. The bug is that if a plan is not built, GMPD won't relinquish the paging request - creating a never ending paging request (low LTR). To fix it, we won't request paging if TAS is enabled. Just save the SAR limit in GMPD manager for when TAS will be disabled."
WIFI-824640,WIFI,2026,Connectivity,"GNNR command fails with error 258 on Arrow Lake Wi-Fi, 10% repro, recovers after driver reset","not an actual driver bug, but a bypass given by us.
Due to SMPS we sometimes don't have any energy on ANT B.
This feature causes some tests in GNNR to fail, so an OID can be used to turn SMPS mode."
WIFI-822445,WIFI,2026,BSOD,[Honor][LUX][NvwaC][RPL][AX211][WiFi] The BSOD(0x7E) occur  point to netwtw.sys when disable/enable WiFi stress test under igh load conditions on the CPU and SSD,"During halt, when we call DPTF unregistration CB it took DPTF almost 10 sec to complete.
But since the timeout was short, we stopped waiting, released the memory
and when they did complete, then the WI resource release operation
operated on already freed memory and caused a BSOD"
WIFI-821675,WIFI,2026,Connectivity,[Samsung][LNL][BE201][P251205-07630] Intel Wi-Fi fails to start authentication as P2P Group Client during pairing on Lunar Lake,"due to a workaround for MSFT bug we rejected any p2p client task connect with bRoamRequest

As MSFT should be ok now, we shall allow it again"
WIFI-817117,WIFI,2026,BSOD,[ASUS][GU405AW][PTL][WhP2][25H2] FW Assert 0x3e15 during the CITU test,"TOP-18062 
In the move to disable flow for both CNVI and CNVR (for all directions I2I, I2R, R2R, R2I) after these instructions:           
1. INPUTS_OVRD<r2d2_step_tx_allow_dis[1:0]> 
2. INPUTS_OVRD<r2d2_step_tx_clk_req[1:0]>
3. Wait 1us
add a loop for 5 iterations to check the TX PMU state and break as soon it is found == 0x1(DISABLE) and then continue the rest of the flow. If after 5 iterations the loop doesn't break then let the assert happen.
"
WIFI-817045,WIFI,2026,Performance,"[Thinkpad][Field][ARL][BE201][X13GEN6][24H2] X13Gen6 BE201 frequently roams to low RSSI APs, causing slow Wi-Fi on Windows 11 24H2",too much weight for channel load and too big penalty for 11v request by AP
WIFI-817026,WIFI,2026,Connectivity,[FCCL][Sensing] System fails to wake via WoA when “Turn off my screen when I leave” is disabled on Wi-Fi,"'
When in native UI we turn off WAL option it can happen during we are
in spd / algo 1 and we are in proxmity, this will make us stuck in
proxmity and we will not report the status to ISH correctly, causing
the screen not to turn on.
"
WIFI-814700,WIFI,2026,BSOD,"[Workshop][Panasonic][CITU] assert 0x3e15 when run CITU, the CITU result is PASS ",
WIFI-812019,WIFI,2025,Connectivity,[Honor][Luxshare][ZhuqueC&XuanwuC][WiFi][AX211]The TIS is abnormal when the OTA test is in Channel 149-165,"In case we are aborting PAPD from PHY remove command,
we must restore the calibration enablement status since it won't be restored otherwise."
WIFI-811762,WIFI,2025,Connectivity,[Lenovo][Kailash][PTL/BE211][25H2]Auth failed when doing connect and ping stress test,"https://gerritwcs.ir.intel.com/c/wcd_fw-dev/+/252821
It is a WA for the case that before association is completed, the FW stays in mimo mode and does not go to DSMPS. So, the 2 ants are active. It solves the problem of authentication rx frame receive error."
WIFI-810631,WIFI,2025,BSOD,[Dell][SanctauryMLK] BSOD DRIVER_POWER_STATE_FAILURE (0x9F) during S4 stress on Arrow Lake-Hx with Killer 1750w Wi-Fi,"wdfSetDeviceFailed (trigger PLDR) was called during resume while driver still hold kmdf power thread, this led to OS bug which they didn't send surprise remove to us, which leads to a 9f BSOD"
WIFI-810250,WIFI,2025,BSOD,[Lenovo-Ideapad][YOGA9P 16][PTL/BE211][25H2]Recoverable assert 0x20003207 occurred during Miracast Test,"Change in requirement to increase the length of the P2P TBTT event in case of 3207.
"
WIFI-807667,WIFI,2025,Connectivity,"[Lenovo][Kailash][PTL/BE211][25H2][Yoga Slim 7 Ultra_SIT]WLAN show only 1 MLO link When change WIFI7 AP encryption mode from WPA2 to WPA3 (F/R:1/2units,1/10cycles)","MLD requires WPA3 security.
MLD links with WPA2 are misbehaving, thus they are marked as such and they are no longer associated with each other in under the MLD AP.
Toggling between WPA2/3 caused the database which holds this information to go out of sync, so when the links became WPA3 we connected as MLD but without being aware of the other links in the same MLD."
WIFI-807648,WIFI,2025,Connectivity,[HP][Wistron][Chiharu26C1][UEFI] The AP will be disconnected after WiFi connected and idle for 5~8 minutes while CSR feature executing period in Intel BE211 SKU (QS silicon) SKU,using ref bssid before it was assigned
WIFI-805746,WIFI,2025,Connectivity,[Lenovo][Kailash][PTL/BE211][25H2]wifi disconnect from 2.4G AP when plug-in a specific 2.4G wireless ROG keyboard,"couldn't hear the beacon - requirement changed

NDP after 4
driver disconnect after 6"
WIFI-804612,WIFI,2025,BSOD,[Lenovo][Kailash][PTL/BE211@1216/320Mhz][25H2]Recoverable Assert 0x4433 occurred when doing Warm Boot stress test,"We had bug in c101 (already fixed in c102)

That NOA that come from scan can be parsed when we handle our beacon

This use case we didn't see before

Seems one of the AP there, turn on oppPS

When we handle our beacon after got this beacon with oppPS=1 it will cause queues suspend

and we will not resume the queues as the oppPS enabled will clear right in next beacon 

++++++++++++++++++++++++++++++++++++++++==
This bug is a DUP of WIFI-754031"
WIFI-801012,WIFI,2025,BSOD,[Lenovo-Ideapad][YOGA9P 16][PTL/BE211][25H2]BSoD 0x9f (0x9F_3_Netwaw18_IMAGE_pci.sys) during stress Cold Boot Test,"wdfSetDeviceFailed (trigger PLDR) was called during resume while driver still hold kmdf power thread, this led to OS bug which they didn't send surprise remove to us, which leads to a 9f BSOD"
WIFI-800210,WIFI,2025,Performance,[LG][15Z90U][PTL/AX211/Win11 24H2] Wi-Fi TX throughput drops after reboot (Failure rate: 3/10),PHY remove's PAPD abort flow complete didn't restore PAPD calibration event trigger
WIFI-800123,WIFI,2025,BSOD,"[Lenovo][Kailash][PTL/BE211][25H2]Recoverable assert 0x2010351E occurred when doing ""MS<-->Resume Ping"" stress test","Description: The race is as follows
Start conditions: tid T for peer P has a valid back aggrement with drv baid DB and fw baid FB
Delba is received for T over P.
delba sync cmd is sent to FW
FW removed FB
core X and core Y handle the delba sync notification at the same time
both getting to rxAggMgrInvalidateStateForBaidApi at the same time.
each stores pAggMgrContext->rxAggMgrBaidIndexTable[baidIndex].delbaStatePerQueueBitmap in a local memory region before the second core reset the bit.
(so in this scenario, both holding the value 3)
each of them is seeing the he is not the last queue, and assumes that the another sync notif will arrive soon and will invalidate the baid entry.
leading to a scenario where the ent"
WIFI-796164,WIFI,2025,Connectivity,[Lenovo][Kailash][PTL/BE211][25H2]wifi disconnect when doing MS test,"We disconnect from APs that don't send beacons unless we still have
traffic. In case there is no traffic, we'll disconnect after 4 missed
beacons, In order to create traffic, send an NDP (using the keep alive infra) to
clear the consecMissedBconsSinceLastRxFromAP counter in case the NDP is
ACK'ed."
WIFI-795954,WIFI,2025,BSOD,"[Lenovo-Ideapad][YOGA9P 16][PTL][25H2]0x28af/0x10028af and AP disconnect when ""MS<--->Resume"" stress test",retry of PLL lock
WIFI-795918,WIFI,2025,BSOD,"[Lenovo][Kailash][PTL/BE211][25H2]0x28af/0x32d occurred when doing ""MS<-->Resume"" stress test",retry of pll lock
WIFI-794048,WIFI,2025,BSOD,[LG][17Z90UR][PTL/BE211/Win11 25H2][Assert][0x28af] Event ID 5002 occurs while disconnecting AP,
WIFI-794045,WIFI,2025,BSOD,[Honor][LuxsharePC][Nvwab][DVT][BSOD][0xC2]Disable/enable WIFI occur 0xC2 while running stress test(f/r:1/200U),"During halt, when we call DPTF unregistration CB it took DPTF almost 10 sec to complete.
But since the timeout was short, we stopped waiting, released the memory
and when they did complete, then the WI resource release operation
operated on already freed memory and caused a BSOD"
WIFI-793434,WIFI,2025,BSOD,[Honor][XuanWu][PTL][AX211]Frequent 5002 and assert (every 2 seconds) in 24.10 driver,"Removed 0x20101920 Debug assert from Core 97,"
WIFI-792801,WIFI,2025,Connectivity,[HP][Huaqin][Deso&Esa][Win11][PTL][Sensing] WiFi Sensing becomes non-operational,"when sleep button is hit, OS takes a few second to trigger D3 and it is triggered during SPD.
When we abort spd we abort the last sample due to a historic bug.
during the spd sample abort we did not free SDFX buffer, causing SDFX not to accept any new adc SDFX buffer requesrts, causing sensing dead scenario."
