Category,Root Cause Type 1,Root Cause Type 2,Root Cause Type 3,Root Cause Type 4,Root Cause Type 5,Root Cause Type 6,Issue Count
Connectivity,State Machine / Flow Handling,Insufficient Root-Cause Detail,Firmware Config / Parameter / Tuning,Power State / Reset / PLDR,Memory / Pointer / Resource Handling,Driver-OS Interface / API / OID,18
YB/Lost,,,,,,,0
BSOD,State Machine / Flow Handling,Firmware Config / Parameter / Tuning,Race / Timing / Interrupt Ordering,Memory / Pointer / Resource Handling,Power State / Reset / PLDR,Driver-OS Interface / API / OID,6
Performance,,,,,,,0
