Category,Root Cause Type 1,Root Cause Type 2,Root Cause Type 3,Root Cause Type 4,Root Cause Type 5,Root Cause Type 6,Issue Count
Connectivity,Insufficient Root-Cause Detail,State Machine / Flow Handling,Race / Timing / Interrupt Ordering,Power State / Reset / PLDR,Memory / Pointer / Resource Handling,Firmware Config / Parameter / Tuning,102
YB/Lost,State Machine / Flow Handling,Power State / Reset / PLDR,Race / Timing / Interrupt Ordering,,,,2
BSOD,Power State / Reset / PLDR,Race / Timing / Interrupt Ordering,Driver-OS Interface / API / OID,,,,3
HLK,,,,,,,0
