Issue key,Technology,Model Category,Category Confidence,Root Cause,Root Cause Theme
WIFI-824640,WIFI,Connectivity,0.1611748811427413,"not an actual driver bug, but a bypass given by us.
Due to SMPS we sometimes don't have any energy on ANT B.
This feature causes some tests in GNNR to fail, so an OID can be used to turn SMPS mode.",Driver-OS Interface / API / OID
WIFI-822445,WIFI,BSOD,0.34826172204135947,"During halt, when we call DPTF unregistration CB it took DPTF almost 10 sec to complete.
But since the timeout was short, we stopped waiting, released the memory
and when they did complete, then the WI resource release operation
operated on already freed memory and caused a BSOD",Memory / Pointer / Resource Handling
WIFI-821675,WIFI,Connectivity,0.26756834967105475,"due to a workaround for MSFT bug we rejected any p2p client task connect with bRoamRequest

As MSFT should be ok now, we shall allow it again",State Machine / Flow Handling
WIFI-817117,WIFI,Connectivity,0.14102315709889926,"TOP-18062 
In the move to disable flow for both CNVI and CNVR (for all directions I2I, I2R, R2R, R2I) after these instructions:           
1. INPUTS_OVRD<r2d2_step_tx_allow_dis[1:0]> 
2. INPUTS_OVRD<r2d2_step_tx_clk_req[1:0]>
3. Wait 1us
add a loop for 5 iterations to check the TX PMU state and break as soon it is found == 0x1(DISABLE) and then continue the rest of the flow. If after 5 iterations the loop doesn't break then let the assert happen.
",State Machine / Flow Handling
WIFI-817045,WIFI,Performance,0.1137757493216571,too much weight for channel load and too big penalty for 11v request by AP,RF / Coexistence / Channel Behavior
WIFI-817026,WIFI,Connectivity,0.5145041425255785,"'
When in native UI we turn off WAL option it can happen during we are
in spd / algo 1 and we are in proxmity, this will make us stuck in
proxmity and we will not report the status to ISH correctly, causing
the screen not to turn on.
",Insufficient Root-Cause Detail
WIFI-814700,WIFI,Connectivity,0.27658236292005156,nan,Insufficient Root-Cause Detail
WIFI-812019,WIFI,Connectivity,0.1820936617404261,"In case we are aborting PAPD from PHY remove command,
we must restore the calibration enablement status since it won't be restored otherwise.",Insufficient Root-Cause Detail
WIFI-811762,WIFI,Connectivity,0.99,"https://gerritwcs.ir.intel.com/c/wcd_fw-dev/+/252821
It is a WA for the case that before association is completed, the FW stays in mimo mode and does not go to DSMPS. So, the 2 ants are active. It solves the problem of authentication rx frame receive error.",Firmware Config / Parameter / Tuning
WIFI-810631,WIFI,BSOD,0.47233846513202576,"wdfSetDeviceFailed (trigger PLDR) was called during resume while driver still hold kmdf power thread, this led to OS bug which they didn't send surprise remove to us, which leads to a 9f BSOD",Power State / Reset / PLDR
WIFI-810250,WIFI,Connectivity,0.16639971698483286,"Change in requirement to increase the length of the P2P TBTT event in case of 3207.
",Insufficient Root-Cause Detail
WIFI-807667,WIFI,Connectivity,0.1376963482169726,"MLD requires WPA3 security.
MLD links with WPA2 are misbehaving, thus they are marked as such and they are no longer associated with each other in under the MLD AP.
Toggling between WPA2/3 caused the database which holds this information to go out of sync, so when the links became WPA3 we connected as MLD but without being aware of the other links in the same MLD.",Security / Signature / Validation
WIFI-807648,WIFI,Connectivity,0.99,using ref bssid before it was assigned,RF / Coexistence / Channel Behavior
WIFI-805746,WIFI,Connectivity,0.99,"couldn't hear the beacon - requirement changed

NDP after 4
driver disconnect after 6",Driver-OS Interface / API / OID
WIFI-804612,WIFI,Connectivity,0.2177586788548195,"We had bug in c101 (already fixed in c102)

That NOA that come from scan can be parsed when we handle our beacon

This use case we didn't see before

Seems one of the AP there, turn on oppPS

When we handle our beacon after got this beacon with oppPS=1 it will cause queues suspend

and we will not resume the queues as the oppPS enabled will clear right in next beacon 

++++++++++++++++++++++++++++++++++++++++==
This bug is a DUP of WIFI-754031",Power State / Reset / PLDR
