Issue key,Technology,Model Category,Category Confidence,Root Cause,Root Cause Theme
WIFI-330101,WIFI,Connectivity,0.20128623038104868,"UEFI driver fills wrongly the lmac_id in PHY_CONTEXT_CMD in case of NIC supports CDB and the band is 6GHz. This leads to firmware 0x2B85 recoverable assert. fix it by handling CDB + UHB case and fill lmac_id correctly,",Firmware Config / Parameter / Tuning
WIFI-330099,WIFI,Connectivity,0.16532562929589822,"by Chigirincev, Dmitry:

When we receive data, the rate of ack/BA calculation is based on rate from RX packet
on of the parameters in the rate is antenna selection

the calculation of antenna selection in ack is based on RSSI of RX packet

In CCK there is a bug, that we first make decision of what antenna to use and only after that read rssi of rx packet from registers

In this case the RSSI in the decision is 0 for both antennas and in this case (when rssi is equal for both antennas) our algorithm takes antenna B always (not shared antenna with BT).

So the solution is to read rssi values of rx in right place, and only then make decision what antenna to use",Firmware Config / Parameter / Tuning
WIFI-329546,WIFI,Connectivity,0.1315408949734972,"Since PC migration doesn't call FreeLibrary for MurocApi DLL, the destructor that suppose to close PIE and PipeClient threads is not called. It's an incorrect behavior by the PC migration.
Up until 22.220, PIE and PipeClient used CreateThread API to open those threads, threads that are created using this API are closed (not gracefully) when the process is closed.
In 22.230, CreateThread API was replaced with std::async API, threads that are created by std::async must be closed before closing the process, otherwise the process will keep running.
In order to mitigate such an incorrect behavior, we changed std::async back to CreateThread.",Race / Timing / Interrupt Ordering
WIFI-328926,WIFI,Connectivity,0.1330109290529408,"MSRPC implementation of callbacks seem to be faulty, sometimes the callbacks are getting stuck without any reason.
Reverted to the old notification polling mechanism.",Insufficient Root-Cause Detail
WIFI-328516,WIFI,Connectivity,0.6911795183272564,fix binary in release ,Insufficient Root-Cause Detail
WIFI-325395,WIFI,Connectivity,0.10393636738164937,change EQ values ,Insufficient Root-Cause Detail
WIFI-323830,WIFI,Connectivity,0.1242011187496514,UHB support was added in core79 and MaG + HrP was mistakenly marked as UHB supported which later led to the fmac 0x7026 assert which means firmware advertises less supported channels than driver (because of the additional UHB channels).,Firmware Config / Parameter / Tuning
WIFI-323059,WIFI,Performance,0.1387371619444877,"firmware expects that driver will pass management frames on Tid=15 and UEFI driver wrongly use Tid=7.
When AP sends ADDBA Req, UEFI driver builds the ADDBA resp and pass it to firmware (Tid=7) then firmware does not handle it properly (there are different handling specifically for management frames on Tid=15) and when the connection is WPA2+11w disabled, the protected bit and CCMP header is set by the firmware on the ADDBA response (frame is sent unencrypted).
Some AP's may ignore it and we'll not experience low TpT, but other AP's may not ignore it and the block ack session will not be valid and this will lead to low TpT.
Fix it by use correctly Tid=15 for management frames.",Firmware Config / Parameter / Tuning
WIFI-320974,WIFI,YB/Lost,0.15394097691658107,"Same as WIFI-310098
TAS wrong while loop that causes it to be endless.",Insufficient Root-Cause Detail
WIFI-320548,WIFI,Performance,0.17515728102987219,"Taking the MCS from static table, and not taking into consideration OTP limitations",Insufficient Root-Cause Detail
WIFI-320466,WIFI,Connectivity,0.12322745276182549,network address on INF,Insufficient Root-Cause Detail
WIFI-319012,WIFI,YB/Lost,0.4661577564993624,nan,Insufficient Root-Cause Detail
WIFI-318975,WIFI,Connectivity,0.99,"fixed by Lifshitz, Elad: 71ee2366f32f9b3a57dede3fd4de3890c212123e
PHY: do not set adc pll lock indication in loopback config",Firmware Config / Parameter / Tuning
WIFI-318707,WIFI,Connectivity,0.17770681300274585,"DCR-1009 SCU active to idle
FIXED FW was delivered to TyP xvt stream managed by PHY team",Firmware Config / Parameter / Tuning
WIFI-317378,WIFI,YB/Lost,0.16988037261875258,nan,Insufficient Root-Cause Detail
WIFI-316376,WIFI,YB/Lost,0.99,"HW wait event is not working well over ARC700.  Replace it w/ SW waiting

How it was found?
We see that during IPC protocol that using HW wait event, when handling
interrupt on exit from the wait, the UMAC start to behave strange and at
the end it is stuck and only PLDR resolve the issue.",Race / Timing / Interrupt Ordering
WIFI-316292,WIFI,Connectivity,0.35746952146006816,SV script wasn't integrated to USC driver + missing definition and implementation of WREQ-225179,Driver-OS Interface / API / OID
WIFI-315524,WIFI,Connectivity,0.10680166256837867,"mSAR feature is enabled for DTM. To disable it, need to send GRP_INTERNAL_SYSTEM_FEATURES_CONTROL_CMD",Insufficient Root-Cause Detail
WIFI-312707,WIFI,Connectivity,0.143201348465926,nan,Insufficient Root-Cause Detail
WIFI-312496,WIFI,Performance,0.23202841724380663,don't ignore multicast packets when calculating the rx link speed,Insufficient Root-Cause Detail
WIFI-311191,WIFI,Connectivity,0.30607947756018133,SV script wasn't integrated to USC driver + missing definition and implementation of WREQ-225179,Driver-OS Interface / API / OID
WIFI-310123,WIFI,Connectivity,0.1402062402539962,"Getting NDPA + NDP, VHT MU, when we are the 2nd STA to return feedback. Then getting beamformee report poll (BFRP) sent with VHT rate.
This seems to be an AP bug as it should be on legacy rate.
We fail on ppdu size comparison and we don't update the feedback rate accordingly - trying to return feedback with rate 6 Mbps (ack rate) so feedback is too long, which results in WPAL NMI. ",Insufficient Root-Cause Detail
WIFI-310098,WIFI,YB/Lost,0.09388499808808164,TAS code for TML implemented wrong loop over fifo mask so the loop was forever,Insufficient Root-Cause Detail
WIFI-309847,WIFI,Connectivity,0.149158654408348,"second scenario for the same bug of sys pwr req - cnvi_top is not rising in some cases wake arrive after vxtl got out of WAIT_FOR_SEQ state and MRG_SEQ go out of idle (wrong) and actually a short no needed wake occur and create a bad wake right after it. fixing the mrg_seq is needed. scu adding the cnvi_top to the wakeup vector in any case when it is missing, FW ignore  the stts in req resources status",Firmware Config / Parameter / Tuning
WIFI-309488,WIFI,YB/Lost,0.2545471911631509,"FW sha1

797c20f3d026571a7047ee25174b022625ef1942",Firmware Config / Parameter / Tuning
WIFI-309456,WIFI,YB/Lost,0.5217318661537595,assert 0x508 due to SWCAP_TIMER_EXPIRED,Insufficient Root-Cause Detail
WIFI-308133,WIFI,Connectivity,0.23967337471836642,switching to ES2 as planned,Insufficient Root-Cause Detail
WIFI-307362,WIFI,Connectivity,0.99,"Getting NDPA + NDP, VHT MU, when we are the 2nd STA to return feedback. Then getting beamformee report poll (BFRP) sent with VHT rate.
This seems to be an AP bug as it should be on legacy rate.
We fail on ppdu size comparison and we don't update the feedback rate accordingly - trying to return feedback with rate 6 Mbps (ack rate) so feedback is too long, which results in WPAL NMI. ",Insufficient Root-Cause Detail
WIFI-306265,WIFI,YB/Lost,0.21861763785423693,"WRT BT presets included forbidden register area
the BT related presets were updated and fixed
please test with the latest WRT tool as indicated below",Power State / Reset / PLDR
WIFI-303797,WIFI,YB/Lost,0.1451939076642905,"TOP-1314 - WMPM CNVR top FSM deadlock, was not added for MGR.
Modified WA for MGR (details in latest comment) was added to FSEQ 3.88.
",State Machine / Flow Handling
WIFI-303040,WIFI,Performance,0.21766484071312714,AGC table,Insufficient Root-Cause Detail
WIFI-302568,WIFI,Connectivity,0.4105184591878675,Fixed in WIFI-294441,Insufficient Root-Cause Detail
WIFI-302222,WIFI,YB/Lost,0.3045329965364713,RDC - WMPM Reset Domain Crossing,Power State / Reset / PLDR
WIFI-301735,WIFI,Connectivity,0.10368910844509945,"cross certification is no longer valid
need to move the machine to test mode",Insufficient Root-Cause Detail
WIFI-295482,WIFI,BSOD,0.13098791269683271,"cc51: ca0d5c43533964b034e84aa44a9e9c037269729e
Not needed for any other core (yet), seen on ThP only.

Flush PCI pipe before completing the PNP_SET_POWER task.
Fix for a race that was found on weak CPU/PCI, where
driver is writing into a CSR, however, the actual right occurs
after we complete the PNP_SET_POWER task.
This causes WHEA unrecoverable error and leading to BSOD 0x124.
Due to weak CPU, or might be a combination with multiple
PCI bridges on this platform, the actual write is not instant.

For some reason, issue was not seen on Win10, while stated appearing
on Win11 - might be different PCI error handling logic.

Deeper analysis: it was seen using PCI analyzer that after driver
is completing the PNP_SET_POWER task, OS puts the PCI in low power mode,
and no further transactions are allowed. However, then we see a memory
write TLP - our CSR write, which was obviously initiated before.

As a WA, need to “flush” the PCI, by reading from the last written CSR
before competing the task. This should ensure that all previous
transactions have completed and it is safe to put PCI into sleep.",Race / Timing / Interrupt Ordering
WIFI-294189,WIFI,Connectivity,0.99,"Duplicate of https://jira.idoc.intel.com/browse/WIFI-282405
Starvation of BK/BE fifos in P2P/GO scenarios causing early queue hang.",Insufficient Root-Cause Detail
WIFI-293032,WIFI,Connectivity,0.27316588035960127,FmP's GEO profiles are ordered per band. GEO profile ID was parsed wrong in SAR functions,Insufficient Root-Cause Detail
WIFI-292530,WIFI,YB/Lost,0.13354714851023947,"in rarely cases power up resources vector is missing pwr & sys_clk req,
the issue occur while two wakeup sources arrive in specific scenario ,
in this case the trigger of second sequencer arrive while MAC in STATE_ON,
this causing the VXTL to skip the state of rising the pwr and sys clk request toward the SCU through the wmpm -> SCU channel,
the request will arrive in any case through the host VXTL to the SCU.
the suggested FW solution is adding the HOST - >SCU  (pwr,sys_clk) indication to the 4phs resources checking.",Firmware Config / Parameter / Tuning
WIFI-291872,WIFI,YB/Lost,0.4986683351984846,nan,Insufficient Root-Cause Detail
WIFI-290882,WIFI,YB/Lost,0.13060571173281857,nan,Insufficient Root-Cause Detail
WIFI-290154,WIFI,YB/Lost,0.99,"After allocating the TE_STA_AGGRESSIVE_ASSOCIATION event, we
want to use its apply time also for the TE_STA_ASSOCIATION event.

But, if the scheduler was not able to decide on an apply time
for TE_STA_AGGRESSIVE_ASSOCIATION (and will be decided later),
the apply time in TE_STA_AGGRESSIVE_ASSOCIATION event descriptor
will be zero.

Adding an event with time 0 can cause assert 0x300F (since the
event is located in the past and starts running immediately
while another event, from another binding, is already running.
This is also a bug that needs to be investigated).",Insufficient Root-Cause Detail
WIFI-287970,WIFI,YB/Lost,0.10657692904593334,"https://gerritwcs.ir.intel.com/c/wifi_drv-dev/+/52756 
[BUGFIX] Return failure at EvtDeviceD0EntryPostInterruptsEnabled  on resume
to D0 in case reset recovery was requested by Driver

Description: Original issue issue if 9F post resume from D3, once PLDR requested by Driver
(WIFI-273238/WIFI-287970/...)

Following MSFT documentation, upon failure on power-up sequence stage, Driver is obligated to return failure for corresponding CB",Race / Timing / Interrupt Ordering
WIFI-287819,WIFI,Connectivity,0.99,nan,Insufficient Root-Cause Detail
WIFI-287055,WIFI,YB/Lost,0.19128044245327197,"HW bug, Fast condition is not support thus results unusual behaviors",Insufficient Root-Cause Detail
WIFI-286819,WIFI,Connectivity,0.1148791817761688,"As per new Swad, Link state is no more updated with station config cmd but with Mac Config cmd. Moved the smartAntenna function which update Mac params from station config cmd handling to Mac config cmd.",Firmware Config / Parameter / Tuning
WIFI-286793,WIFI,Connectivity,0.99,"The bug occurs with known misbehaving AP which advertises ECSA with CS-to-self
in its probe responses (not in beacons)
We saw this behavior in the past and implemented  DCR-261 (WREQ-36392) which allows us to connect to such APs
But in this setup the AP advertises operating class = 0x1a (26) while we’re in China MCC domain 0x434E (I see this in the RLG log didn’t find Country IE in AP beacons/probes)
According to the table E-6 in Annex E in the spec this operating class is invalid for China
So when we try to determine if the ECSA contains CS to self we attempt to retrieve the band by operating class + channel number, and since such operating class doesn’t exist
 in the current MCC we conclude that the CS is not CS to self, since the band is different (INVALID_BAND) though the channel number is the same
and thus we exclude such candidate and don’t connect though our competitors such as QCOM and RTEK do
The system requirement was to ignore the operating class in this specific case and assume the same band as the old one",RF / Coexistence / Channel Behavior
WIFI-286646,WIFI,Connectivity,0.18927674715971066,"We have an issue with Samsung where we got GON response at the  same
time we sent to FW GON confirm
This cause canceling the DAF to FW and GON confirm was never sent in this case
The solution is to check that we got the GON response with the same token we got
in the last GON response and simply discard it.(meaning not sending it to OS
and not canceling the DAF.",Firmware Config / Parameter / Tuning
WIFI-284407,WIFI,Connectivity,0.08893863615102147,"due to Microsoft bug, memory allocation while DMAr enabled takes too long.
because we allocate all our needed buffers in init flow, the init flow duration increased.
the solution is to allocate the buffers in big memory chunks, which decrease the number of allocation dramatically -> init flow duration decreased.",State Machine / Flow Handling
WIFI-283806,WIFI,Connectivity,0.10252738876620818,"Issue with loading incorrect USC dll when installing the driver on QsR family HW's.

After QsR family core freeze (core74, net10) there was an issue with USC ext INF that loaded net12 USC dll instead of net10 USC dll causing mismatch issue between the USC version the driver compiled with and the USC that was installed.",Driver-OS Interface / API / OID
WIFI-283451,WIFI,Connectivity,0.1647874216931412,"allocation of big memory chunks at the init flow, caused other memory allocation that have to be continues to fail.
we changed the memory allocation implementation to use a generic infra, which does not ""regret"" already allocated memory, does not re-try to alloc failed granularity, and change the alloc order, in order to allocate the buffers at the end of the flow.",State Machine / Flow Handling
WIFI-283154,WIFI,BSOD,0.2645502957928558,"In two places in the  hmfmCommonUpdateBssEntry() we
can return from the function without releasing the aquired lock on the
BSS table which caused BSOD",Insufficient Root-Cause Detail
WIFI-283151,WIFI,YB/Lost,0.11159507381043828,Merged the WA after good feedback from client: https://gerritwcs.ir.intel.com/c/wcd_fw-dev/+/8391,Firmware Config / Parameter / Tuning
WIFI-278898,WIFI,YB/Lost,0.12057016758785886,Quasar / JfP based TICs were missing from DDD INF,Insufficient Root-Cause Detail
WIFI-278839,WIFI,Connectivity,0.1333710127883359,"    [BUGFIX] mvm: don't account for the losing time of the wrong link

    When we want to look for a hole for an event, and our event is placed
    after event B, we want to make sure that we leave room for the link that
    runs event B to loose the medium properly before we run our event.
    In case of GO / BSS in SCM, we can have the following scenario:

    GO's beacon saver ends at 100
    BSS'es TBTT ends at 50

    This means that we could place an event at 101 since the losing time of
    the GO is 0, but we don't since we want to leave enough time for the
    losing for the client.

    This wouldn't be a big problem if we didn't have to re-allocate events.
    I saw in USIM the following problem:

    1) time is now 50
    2) GO / BSS in SCM, beacon of the GO is at 150, beacon of the BSS at 100
    3) Fragmented scan allocates events (50 ms long)
    4) We place one time NOA for a fragment of the scan at time 180, after
       the next beacon of the GO (because of the beacon saver)
       Note that this overrides the BSS's TBTT which is fine.
    5) the beacon saver event of the GO ends at 180 to give room for the
       scan event
    6) time passes by, we are at 100
    7) TBTT of the BSS runs and we remove the occurrence after beacon Rx
    8) Refresh
    9) we place again the the scan's fragment, but this time we place it at
       180 + BSS's losing time.
    <=== This is the bug ===>

    We just moved the fragmented scan's event, but we had a NOA that was
    placed exactly for that specific event and now the fragmented scan's
    event is unfortunate because of the beacon saver of the GO.

    We could have placed the fragmented scan's event again at 180 because
    the client already knows it needs to have left the channel by 180. But
    because we take into account the losing time of the BSS after an event
    that belongs to the GO, we delay the scan event by 4ms and it misses the
    window created by the GO's NOA.

    Fix this by looking at the losing time of the link of the specific event
    that precedes the hole, and do not consider all the events in the
    binding.
",Race / Timing / Interrupt Ordering
WIFI-278150,WIFI,Connectivity,0.13649494899290118,filling the scatter gather buffer wrong with the MDLs,Memory / Pointer / Resource Handling
WIFI-276319,WIFI,Performance,0.14541850460806857,"commit hash: 52ce48be2bbc2cd5e59357d52d8aea081c874f9d
b12ba8d1a1ad4e56e3426863b3fe05536450c3dc",Insufficient Root-Cause Detail
WIFI-276315,WIFI,BSOD,0.13664000319569497,Clean NBL meta data in case of classification failure,Insufficient Root-Cause Detail
WIFI-274576,WIFI,Connectivity,0.1992857070648209,"TLC command sent before PHY command for P2P client when upgrading to HE
Fixed in commit ac2964954cf6f750aeabd0699e2a4d7c4fab7128",Insufficient Root-Cause Detail
WIFI-274412,WIFI,Connectivity,0.19604938575296643,"PseudoHeSupport should be enabled in ADD MAC because FW stores HE STA's & Link's
params only if PseudoHeSupport is ON.
Meaning, in case the PPE thresholds is sent in STA command before the MAC was configured to PseudoHeSupport ON, the FW ignores the PPE thr params.",Firmware Config / Parameter / Tuning
WIFI-274368,WIFI,Connectivity,0.99,https://gerritwcs.ir.intel.com/c/wcd_fw-dev/+/33953,Firmware Config / Parameter / Tuning
WIFI-272933,WIFI,YB/Lost,0.99,"Protocol's Max TWT SP is 64TUs (65280us), (1 byte for SP in 256us units)
when BT doesn't care of the latency and request small quota and TBTT is big enough, it causes WF's SP to be bigger than max SP field. This overflow cause the multiple assert that finally cause YB.
This also reveals a faulty corner that is not related to TWT, as such scenario causes either bigger starvations to WF or to BT. 
The solution is to prevent such scenarios and not delete the assert.
",State Machine / Flow Handling
WIFI-272412,WIFI,Connectivity,0.18462441502272958,"TGL platform run with quazar + JfP 1x1 card, there is no bug

ADL run with solar + JfP 1x1 and there is the bug in driver (mhiff) that didn't take bSadAlternativeAntUsed from fw meta info (rx packet)",Firmware Config / Parameter / Tuning
WIFI-270141,WIFI,Connectivity,0.14114546596291758,"he bug was due to a temporary workaround to DISABLE_UNII4_EU_AND_ALIKE, which was needed to be removed but was missed .",Insufficient Root-Cause Detail
WIFI-270139,WIFI,Connectivity,0.1154088333867485,The fix for the bug WIFI-251564 caused this bug.,Insufficient Root-Cause Detail
WIFI-269893,WIFI,Connectivity,0.12461977291005599,"During repair mode, when using an SFX (like DUP), the installer searched for setup.xml in the DUP directory instead of the extracted installer directory.",Insufficient Root-Cause Detail
WIFI-268398,WIFI,Connectivity,0.23360365073060294,"fix introducer during fuzzing run  - fixing queue tx allocation
see comment in patch",Insufficient Root-Cause Detail
WIFI-266055,WIFI,Performance,0.3794193340001699,"Bug: WiFi throughput drop when BT is enabled. Corun AGC table wasn't
properly characterized to define the gain steps accuracy
Fix: update AGC table for corun",Insufficient Root-Cause Detail
WIFI-264725,WIFI,Connectivity,0.12196388744538962,Missed setupComplete in case of SecondBiosMcc,Insufficient Root-Cause Detail
WIFI-259929,WIFI,Performance,0.1361179277995772,"Delivered by Borochov/Darzi:
7e9c1c8608ca52253e2aef4154966d307b7af5ca
[BUGFIX] phy: fill AGC table for COEX
in case of scanning HB, we clear the up entries of the AGC table,
when we return to LB, in antenna B, we filled only the first 16 entries
of the table with antenna B DB, but we didn't fill the COEX values.
This caused bad AGC values in case of COEX active, which led to
high energy measurements on the antenna (eventually led to assert 0x4444
due to TX defers).
This fix fills the COEX entries with the correct values.",Insufficient Root-Cause Detail
WIFI-258005,WIFI,Connectivity,0.1921297482774923,Max delta gain table not updated for GFP4,Insufficient Root-Cause Detail
WIFI-256268,WIFI,Connectivity,0.17502297151100857,"See patch details.
In short, an aborted scan triggered an MCC update although it should not have done so. The fix avoid MCC update on aborted scan.",Driver-OS Interface / API / OID
WIFI-255990,WIFI,Connectivity,0.21045301273963976,"HW bug - SCD doesn't ignore out of window bits in the bitmap scratch area.
Added FW WA (clear all bits in entry).
the bug caused an errored frame in aggregation to be marked as DONE.",Firmware Config / Parameter / Tuning
WIFI-255760,WIFI,Connectivity,0.1348098609821686,DDD buffer was fool,Memory / Pointer / Resource Handling
WIFI-255169,WIFI,Connectivity,0.1751048791935259,fix LARI change config for China BIOS,Firmware Config / Parameter / Tuning
WIFI-253202,WIFI,Performance,0.17154935098869703,"Delivered by Borochov/Darzi:
7e9c1c8608ca52253e2aef4154966d307b7af5ca
[BUGFIX] phy: fill AGC table for COEX
in case of scanning HB, we clear the up entries of the AGC table,
when we return to LB, in antenna B, we filled only the first 16 entries
of the table with antenna B DB, but we didn't fill the COEX values.
This caused bad AGC values in case of COEX active, which led to
high energy measurements on the antenna (eventually led to assert 0x4444
due to TX defers).
This fix fills the COEX entries with the correct values.",Insufficient Root-Cause Detail
WIFI-252922,WIFI,Performance,0.20445216697044502,Fixed deadlock between RouterDLL and PIE IHV.,Insufficient Root-Cause Detail
WIFI-252455,WIFI,Connectivity,0.10866230786575155,"Those threads are opened by a ""KeepAlive"" timer which runs a function every second to check if the connection to RPC is still valid.
The connection to RPC check is done by running an API that is sent to the RPC server, if the API fails, it returns an error.
When the Wlanext.exe process is in ""pending"" state, the RPC server doesn't respond to the RPC call which blocks the call forever (Bug in MSRPC).
Since the call is blocked, and the timer is still running, every second another thread is being stuck, and this is why there are so many threads.
To solve this, I put a boolean that signals if there is already a running thread, if there is already a running thread, the function will exit without doing anything.",Driver-OS Interface / API / OID
WIFI-252267,WIFI,YB/Lost,0.43328062870751627, DCR-924 being excluded from TyP BT FW,Firmware Config / Parameter / Tuning
WIFI-251564,WIFI,Connectivity,0.20689796831332002,"GetAdapterList also returned success, regardless if it failed or not.
Also, count wasn't initialized with 0.",Insufficient Root-Cause Detail
WIFI-249167,WIFI,Connectivity,0.25594038055460194,See patches,Insufficient Root-Cause Detail
WIFI-247522,WIFI,Connectivity,0.6872902060724606,"Sensing Algo adaptations:
- WA = 100 us
- channel 36
- logarithmic metric
- rest parameters similar to MSI 
 ",Firmware Config / Parameter / Tuning
WIFI-247381,WIFI,Connectivity,0.10806598725397791,This issue is being handled on DCR-1934,Insufficient Root-Cause Detail
WIFI-246831,WIFI,YB/Lost,0.99,"he fix for BadDmaRead was worng because it allocated on existing
aloocation and caused a memory leak.
afterward we freed the last memory, therefore the memory was zero.

the fix is to set it in temporal value and copy it back again afterward.",Memory / Pointer / Resource Handling
WIFI-244597,WIFI,Performance,0.18243713701394457,nan,Insufficient Root-Cause Detail
WIFI-244514,WIFI,Connectivity,0.12249788498768059,"[BUGFIX] PHY: correct context data in Modify

Update context data at relevant part of code.
Also change assert to make sure lmac ID remains the same.",Insufficient Root-Cause Detail
WIFI-243533,WIFI,Connectivity,0.19549492866786825,typo in DMA remapping registry section Netwta10->Netwaw10,Insufficient Root-Cause Detail
WIFI-242638,WIFI,BSOD,0.1593602497075372,missing FW input validation,Firmware Config / Parameter / Tuning
WIFI-241078,WIFI,Connectivity,0.10559185868777181,"fixing rlcChainSettings registry key,
when trying to use only antenna A or only antenna B separately, the registry key doesn't work.
the solution is to fill the valid mask param from the custom config while receiving
the Rx chain.",Firmware Config / Parameter / Tuning
WIFI-240803,WIFI,YB/Lost,0.22806603800244277,"The AP assoc at 80MHz while in the TF it sends the secondary 80MHz RU is set.
The fix is to abort this TF and avoid the sysassert.
https://gerritwcs.ir.intel.com/c/wcd_fw-dev/+/20325",Firmware Config / Parameter / Tuning
WIFI-239407,WIFI,Connectivity,0.12689618495895064,"StartupPath was wrong, instead of using the setup.xml of the running installer, it used that setup.xml in the bundle package cache folder.",Insufficient Root-Cause Detail
WIFI-236751,WIFI,Performance,0.17062985807570902,"reset the link quality parameters with INVALDATE and not with 0.
",Firmware Config / Parameter / Tuning
WIFI-236550,WIFI,Connectivity,0.12147448352606607,"LAR flow (or part of it) was not enable in XVT mode. 
This specific issue where we see that BIOS regulatory values (e.g. UNII4) not applied was added to driver in the last year (DCR722- Regulatory - unii4 enablement bitmap),
in LAR section which is excluded in xvt mode. 
The fix is to enable this section in xvt mode. ",State Machine / Flow Handling
WIFI-231421,WIFI,Connectivity,0.3462714088059724,issue with driver when reading the SAR table from BIOS,Driver-OS Interface / API / OID
WIFI-230886,WIFI,Connectivity,0.17561626134072564,"LPI tables were applied in 6 GHz when geo profile=US or Power Profile=0. The fix is applying the LPI tables when Power Profile is 0 or 1, regardless of the geo profile.",Insufficient Root-Cause Detail
WIFI-230034,WIFI,Connectivity,0.2508039072967143,Invalid command size for reduced tx power command v7,Insufficient Root-Cause Detail
WIFI-229851,WIFI,Connectivity,0.15343047913893607,"When reseting the link quality params, need to reset the last report rate time to INVALID and not to 0.",Power State / Reset / PLDR
WIFI-229648,WIFI,Connectivity,0.16467916481079284,"HE connection with AP zeroing the basic MCS NSS.

Fixing driver bug as a result of ""missing behavior"" DCR, which is dealing with AP that resets the HE capabilities basic MCS NSS IE.",Power State / Reset / PLDR
WIFI-227547,WIFI,Connectivity,0.1315481087320604,"Combination of few issues:
1. PPE thresholds in GO were taken from assoc response instead of request
2. Originally PktExt was initialized to 64-QAM instead of NONE
3. Due to another bug, when peer reports HE PPE thresholds for 2 NSS, the thresholds were not filled for 2 NSS
4. Combination of above caused PPE thresholds to be configured for 64-QAM for 2 NSS before EHT PPE thresholds commit, then due to #3 to be configured to NONE.",Firmware Config / Parameter / Tuning
WIFI-226810,WIFI,Connectivity,0.12633789424738118,"Installer fails to load dell.dll:
The installer is using the API SetDefaultDllDirectories() in order to prevent loading DLLs from unsecured locations.
Before the installer calls an API from dell.dll, it's using the API SetDllDirectory() which should allow the installer to find dell.dll, but since it already called SetDefaultDllDirectories(), the API SetDllDirectory() doesn't do anything and therefore the installer doesn't find dell.dll.",Driver-OS Interface / API / OID
WIFI-226325,WIFI,Connectivity,0.15808170100791996,missing lib from BIOS to  get the right PCH serial port address per platform ( real fix will be in DSC in BIOS  - but we fixed it localy so we will not wait for BIOS fix ),Insufficient Root-Cause Detail
WIFI-221587,WIFI,Connectivity,0.11263179266857493,"PIE is using an asynchronous method in order to send a bind event, in this case there was a racing condition between that method and the FreeLibrary call:
1) Asynchronous method is called.
2) Router frees the PIE IHV module while the method is still working.
3) The asynchronous method is still working while the main thread of the DLL that host that method is closed.
4) This causes Wlanext.exe process to remain open.
5) On driver enable, a new Wlanext.exe process is created.
6) Since there are 2 running Wlanext.exe processes, this means that the RPC server is still working in the old process which prevents creating a new RPC server connection in the new process.
7) PIE service tries to connect to the RPC server which is stuck on the old process, which makes the service to also be stuck.",Driver-OS Interface / API / OID
WIFI-221315,WIFI,Connectivity,0.14957303811305822,DCR 1747 ,Insufficient Root-Cause Detail
WIFI-220023,WIFI,Connectivity,0.99,"In old cores where HE wasn't exist when non UNII4 STA tries to connect to UNII4
AP that its channel and BW violate regulatory, the connection was reduced to HT
as VHT was disabled.
In new cores with HE support there is a requirement that if VHT doesn't exist
the STA can't connect in any mode.
In new code the VHT dsabled interpreted as VHT doesn't exist so combination of
VHT disabled and HE must have a VHT otherwise it won't connect in any mode.",RF / Coexistence / Channel Behavior
WIFI-219771,WIFI,BSOD,0.25579799778515405,An assert during ExitBootServices resulted in NIC reset leaving it in powered on and running state with misconfigured DMA. When the OS boots it hits DMA violation which resulted in BSOD,Firmware Config / Parameter / Tuning
WIFI-219088,WIFI,Connectivity,0.12673357292784018,DELL SKUs were added to INF starting 22.150 release,Insufficient Root-Cause Detail
WIFI-218884,WIFI,Performance,0.1482331418385938,"In case of LB channel 11 @40MHz, if the lite regulatory limit is bigger than full regulatory limit by more than 2dB,
skip calibrating full region 0",RF / Coexistence / Channel Behavior
WIFI-216109,WIFI,Connectivity,0.99,no sad notification was sent in stealth ap mode.,Insufficient Root-Cause Detail
WIFI-214885,WIFI,YB/Lost,0.99,Open DPHY clock forced open at init after the assert. Closing it lowered the frequency of the issue.,Insufficient Root-Cause Detail
WIFI-214403,WIFI,BSOD,0.20525927844467362,"when driver waits for reset interrupt response, it has a timer of 200ms to
complete the flow in case of missing interrupt.
if in the same time assert arrives, the timer expiry is ignored and FW stop is stuck on the same state with no way to exit from it.
had to move state in case of FW not responsive",State Machine / Flow Handling
WIFI-213810,WIFI,YB/Lost,0.1211339443491244,nan,Insufficient Root-Cause Detail
WIFI-210835,WIFI,Connectivity,0.22963904357765008,"'
Channel 149 is passive in EEPROM (not allowed for GO Activation)
If we hear an AP on channel 149, it becomes active (allowed for GO activation)
But the function which gets the valid channels for GO activation checked the original EEPROM info.
That info does not contain passive to active channel transitions, so it is not up to date.
Eventually we will not start on channel 149, because we don't know it is active.

",RF / Coexistence / Channel Behavior
WIFI-210732,WIFI,Connectivity,0.99,"Driver took max num of SAR tables from NumberSARTables field for all bios revisions (8 in this case).
This change was done starting from 1.7 bios revision. 
For the previous revisions the max number of SAR tables shall stay to be static (12) and this was missed.",Driver-OS Interface / API / OID
WIFI-210058,WIFI,Connectivity,0.24643917445884178,nan,Insufficient Root-Cause Detail
WIFI-209459,WIFI,YB/Lost,0.99,closing Q in modify flow as firat stage ,State Machine / Flow Handling
