Category,Root Cause Type 1,Root Cause Type 2,Root Cause Type 3,Root Cause Type 4,Root Cause Type 5,Root Cause Type 6,Issue Count
Connectivity,Insufficient Root-Cause Detail,Firmware Config / Parameter / Tuning,RF / Coexistence / Channel Behavior,Race / Timing / Interrupt Ordering,State Machine / Flow Handling,Power State / Reset / PLDR,84
YB/Lost,,,,,,,0
BSOD,Power State / Reset / PLDR,Driver-OS Interface / API / OID,Race / Timing / Interrupt Ordering,Insufficient Root-Cause Detail,State Machine / Flow Handling,RF / Coexistence / Channel Behavior,11
Performance,,,,,,,0
