normalized_title,ips_title_sample,label_count,labels,row_count_in_conflict_file,source_files,suggested_action,final_decision_label,decision_notes
typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16),TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16),3,Performance | Power Consumption | RF,17,CFE_input/weekly_labels_20260501_170001.csv ; CFE_input/weekly_labels_20260508_230403.csv ; CFE_input/weekly_labels_20260515_170001.csv ; CFE_input/weekly_labels_20260522_183733.csv ; CFE_input/weekly_labels_20260523_143606.csv ; CFE_input/weekly_labels_20260523_143640.csv ; CFE_input/weekly_labels_20260523_145957.csv ; CFE_input/weekly_labels_20260523_150056.csv ; CFE_input/weekly_labels_20260525_100744.csv ; CFE_reviewed_issue/wifi_tools_piece_03_of_07_FrankLee.csv,adjudicate_to_single_label,,
tas enable some question for ax411 - dcr-1833 should fix,TAS enable some question for AX411 - DCR-1833 should fix,3,BIOS | UEFI | YB/Lost,6,CFE_input/weekly_labels_20260605_170006.csv ; CFE_input/weekly_labels_20260606_143309.csv ; CFE_input/weekly_labels_20260608_163759.csv ; CFE_input/weekly_labels_20260612_170002.csv ; CFE_input/weekly_labels_20260612_233426.csv ; CFE_reviewed_issue/wifi_tools_piece_02_of_07_Frankyang (2).csv,adjudicate_to_single_label,,
restricted mode long reconnection time after resume from sleep,Restricted mode long reconnection time after resume from sleep,2,Connectivity | Power Consumption,29,CFE_input/weekly_labels_20260501_170001.csv ; CFE_input/weekly_labels_20260508_230403.csv ; CFE_input/weekly_labels_20260515_170001.csv ; CFE_input/weekly_labels_20260522_183733.csv ; CFE_input/weekly_labels_20260523_143606.csv ; CFE_input/weekly_labels_20260523_143640.csv ; CFE_input/weekly_labels_20260523_145957.csv ; CFE_input/weekly_labels_20260523_150056.csv ; CFE_input/weekly_labels_20260525_100744.csv ; CFE_input/wifi_tools_piece_01_of_07_Timdaway.csv,adjudicate_to_single_label,,
ppag function doesnt work when countrycode is set to cb(china).,PPAG function doesnt work when countrycode is set to CB(China).,2,BIOS | Performance,6,CFE_input/weekly_labels_20260605_170006.csv ; CFE_input/weekly_labels_20260606_143309.csv ; CFE_input/weekly_labels_20260608_163759.csv ; CFE_input/weekly_labels_20260612_170002.csv ; CFE_input/weekly_labels_20260612_233426.csv ; CFE_input/wifi_tools_piece_07_of_07_Brenton.csv,adjudicate_to_single_label,,
t14s laptop (ax211) keeps switching between different wi-fi access points (aps) unnecessarily,T14S Laptop (AX211) keeps switching between different Wi-Fi access points (APs) unnecessarily,2,Connectivity | Roaming,4,CFE_input/weekly_labels_20260605_170006.csv ; CFE_input/weekly_labels_20260606_143309.csv ; CFE_input/weekly_labels_20260608_163759.csv ; CFE_reviewed_issue/wifi_tools_piece_02_of_07_Frankyang (2).csv,adjudicate_to_single_label,,
2.4g drtu target power difference at the same sku,2.4G DRTU Target power difference at the same SKU,2,OEM Tools | Performance,2,CFE_input/weekly_labels_20260501_170001.csv ; CFE_reviewed_issue/wifi_tools_piece_02_of_07_Frankyang (2).csv,adjudicate_to_single_label,,
"when using the iper3 tool to run rx and tx while connecting to a 2.4g wifi and bluetooth device, the bluetooth speaker experiences stuttering issues.","When using the iper3 tool to run RX and TX while connecting to a 2.4G WiFi and Bluetooth device, the Bluetooth speaker experiences stuttering issues.",2,Connectivity | Performance,2,CFE_reviewed_issue/bt_software_piece_02_of_07_Juan.csv ; CFE_reviewed_issue/bt_software_piece_04_of_07_Wesley.csv,adjudicate_to_single_label,,
[honor][huaqin][lvzhoud][wcl][intel ax211][bt][25h2]the coldboot stress test resulted in a 0x9f bsod.,[Honor][Huaqin][LvzhouD][WCL][Intel AX211][BT][25H2]The coldboot stress test resulted in a 0x9f BSOD.,2,BSOD | Roaming,2,CFE_input/weekly_labels_20260612_170002.csv ; CFE_input/weekly_labels_20260612_233426.csv,adjudicate_to_single_label,,
